SINIF,YORUM
Tropical Storm,"Sustained SSE winds of 38 mph with gusts to 48 mph were measured at 3:10 am on Sept. 2nd about 1 mile NNW of Jacksonville Beach. The ASOS station at Naval Station Mayport measured a southerly wind gust of 43 mph at 3:38 am on Sept. 2nd. Also at 3:38 am, a tree was blown down on a home along Piper Drive. At 4:49 am, a tree was blown down and blocked the road at Sherry Drive and 5th Street near Atlantic Beach. At 5:12 am, a tree was blown down and blocked the road at Tiber Avenue and Atlantic Blvd. At 6:25 am, the WeatherFlow Mesonet site at the Terminal Channel near downtown Jacksonville measured at peak wind gust of 51 mph. At 11:38 am, the ASOS as N.S. Mayport measured a wind gust to 45 mph. Peak wind gusts included 46 mph at 9:21 am at Craig Airfield in Arlington, 51 mph at Naval Station Mayport at 8:02 am on Sept. 2nd, 41 mph at the Terminal Channel Downtown Jacksonville at 11:25 pm Sept 1st, 51 mph at Buck Island at 9:18 am on Sept 2nd, 52 mph at Huguenot Park at 6:58 am on Sept. 2nd, and 53 mph at the WeatherFlow sensor located at Jacksonville Beach Pier at 10:19 am on Sept. 2nd. The peak wind measured at the NOS Station in Mayport was 48 mph on Sept. 2nd at 12:42 pm and at Blount Island Command NOAA Ports 48 mph on Sept. 2nd at 8:12 am. Storm total rainfall measured 4 miles north of the University of North Florida was 2.14 inches.  Maximum storm surge values included 0.86 ft (3.02 ft) at Mayport and 1.00 ft at the Dames Point bridge (tide 2.22 ft)."
Marine Thunderstorm Wind,The Port Isabel TCOON site reported thunderstorm wind gusts of gale force
Drought,Drought ranged from just general dryness over the eastern part of the county to nearly severe drought across the western third.
Heavy Rain,Coop observer reported heavy rainfall of 2.11 inches.
Heavy Rain,Coop observer reported heavy rainfall of 3.19 inches.
Heavy Rain,Coop observer reported heavy rainfall of 2.64 inches.
Heavy Rain,Coop observer reported heavy rainfall of 2.9 inches.
Thunderstorm Wind,Picture on twitter reported a four inch diameter tree top came down on a house.
Hail,Picture of nickel to quarter size hail.
Hail,Hail ranged in size from pea to quarter size hail.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding leading to a high water rescue at the I-35 Frontage Road and Palo Alto Rd. in southwestern San Antonio.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding leading to a high water rescue at 12280 Hwy 16 in southeastern San Antonio.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding leading to a water rescue at S. Callaghan Rd. and Hwy 151 in western San Antonio.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding leading to a water rescue at Prestwick Blvd. and Ferrington Dr. in southeastern San Antonio.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding leading to a high water rescue at General Hudnell Dr. and Cupples Rd. in San Antonio.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing low water crossings along Schoenthal Rd. near FM3009 near Bracken.
Flash Flood,Four water rescue were reported from 142 AM through 230 AM in San Angelo.  They occurred at the intersection of Beauregard and Howard and at the low water crossing on Pulliam Street.
Hail,
Hail,
Hail,
Hail,Hail ranged from 1.5 to 2 inches in diameter. Hail damage to car
Marine Thunderstorm Wind,Weatherflow Hurricane site southeast of Waldron Field measured a gust to 35 knots.
Marine Thunderstorm Wind,NOS site at Bob Hall Pier measured a gust to 34 knots.
Marine Thunderstorm Wind,TCOON site at South Bird Island measured a gust to 34 knots.
Heavy Rain,A local trained weather observer measured 9.86 inches of rainfall in Maple Grove (just east of Weaver Lake) during the afternoon and evening of Wednesday
Heavy Rain,A local trained weather observer measured 8.11 inches of rainfall in Maple Grove (on the western edge of Fish Lake) between Wednesday afternoon
Heavy Rain,A National Weather Service coop observer measured 7.64 inches of rainfall southwest of Waseca between Wednesday afternoon
Flood,The Baraboo River peaked around 16.9 feet the early morning of September 24th in Reedsburg. Floodwaters affected West Second Street
Flood,Highway 127 closed in both directions due to water over the roadway.
Flood,Highway 23 closed near Briggsville due to high water from the flooding of Neenah Creek.
Heavy Rain,CoCoRaHS observer reported heavy rainfall of 5.11 inches over the last 24 hours.
Heavy Rain,CoCoRaHS observer reported heavy rainfall of 5.41 inches over the last 24 hours.
Heavy Rain,CoCoRaHS observer reported heavy rainfall of 3.25 inches over the last 24 hours.
Heavy Rain,Coop observer recorded heavy rainfall of 2.32 inches over the last 24 hours.
Thunderstorm Wind,Public reported a large tree downed
Thunderstorm Wind,Observed tree damage in storm chaser live video stream.  Multiple large tree limbs down.
Thunderstorm Wind,Emergency manager reported trees down on roofs and power lines.  Extent of damage unknown at the time.  Time estimated from radar.
Hail,Trained spotter reported penny sized hail.
Heavy Rain,A storm total rainfall amount of 3.50 inches was reported
Heavy Rain,A storm total rainfall amount of 4.18 inches was reported
Heavy Rain,A storm total rainfall amount of 4.55 inches was reported
Heavy Rain,A storm total rainfall amount of 5.10 inches was reported
Heavy Rain,A storm total rainfall amount of 4.14 inches was reported
Heavy Rain,A storm total rainfall amounts up to 6 to 6.50 inches were reported around town
Heavy Rain,A storm total rainfall amount of 5.52 inches was reported
Heavy Rain,A storm total rainfall amount of 3.28 inches was reported
Hail,
Hail,Highway 40 was covered in hail.
Thunderstorm Wind,Penny size hail accompanied the winds.
Hail,
Thunderstorm Wind,
Thunderstorm Wind,
Heavy Rain,Rainfall total from the past 24 hours was 3.80 inches.
Thunderstorm Wind,Thunderstorm winds downed several trees in Reedsville.
Thunderstorm Wind,Thunderstorm winds downed numerous trees on the north side of Manitowoc.
Thunderstorm Wind,Thunderstorm winds downed two trees and some large branches near Coloma.
Hail,Nickel size hail fell in Manitowoc as thunderstorms moved through the area.
Flash Flood,Two water rescues occurred along US Highway 160 2 miles northeast of South Fork due to flash flooding. The highway was impassable. No injuries were reported.
Flash Flood,South State Highway 17 south of West Plains was briefly impassable and closed due to flash flooding.
Flash Flood,State Highway MM was closed due to flash flooding along Spring Creek.
Heavy Rain,The observer measured 6.56 inches of rainfall since 9am.
Heavy Rain,The observer measured 4.01 inches of rainfall since the morning.
Heavy Rain,The observer measured 2.94 inches of rainfall during the event.
Flash Flood,Water was reported over the road several inches deep on Highway H near Barnitz Prong Creek. The highway was closed for a brief time to traffic due to the high water.
Drought,The U.S. Drought Monitor expanded the Severe Drought (D2) designation into Newport County on September 13th.  This continued through the month of September.
Drought,
Drought,
Tornado,The tornado developed just north of the Wray airport.  It remained semi-stationary for the first few minutes of its lifetime before moving north.  The tornado crossed Highway 385 just north of the CR 39 intersection.  As it crossed the highway it strewed barb wire fencing across the road
Heavy Rain,The COOP observer near Eitzen measured 5.35 inches of rain.
Flash Flood,A portion of South Belvedere Dr was washed out.
Heavy Rain,Near Floyd
Heavy Rain,In New Hampton
Hail,At mile marker 28 on interstate 135.
Flood,Runoff from heavy rain pushed the Turkey River out of its banks near Eldorado. The river crested over four feet above the flood stage at 17.12 feet.
Flood,Runoff from heavy rain pushed the Turkey River out of its banks in Clermont. The river crested a foot and a half above the flood stage at 17.66 feet.
Flash Flood,Flood waters covered several rural roads in the western sections of Mitchell County.
Thunderstorm Wind,The State Route 248 sensor recorded a peak wind gust of 61 mph.
Thunderstorm Wind,The Milford ASOS reported a maximum wind gust of 63 mph.
Thunderstorm Wind,A 63 mph wind gust was reported at the Simpson Springs sensor in the Dugway Proving Ground mesonet.
Thunderstorm Wind,The Ditto sensor in the Dugway Proving Ground mesonet recorded a peak wind gust of 62 mph.
Thunderstorm Wind,The Bryce Canyon ASOS recorded a maximum wind gust of 67 mph.
Thunderstorm Wind,A dry microburst knocked down several power lines along Freedom Boulevard in Provo.
Flash Flood,Numerous roads were closed due to flooding in Babylon including Route 109
Thunderstorm Wind,Thunderstorm winds downed an old barn and a 12-inch diameter tree just north of Kaukauna. Vehicles being stored inside the barn were damaged when it fell.
Thunderstorm Wind,Thunderstorm winds downed three trees and power lines in Stevens Point.
Flash Flood,Runoff from heavy rainfall caused flooded roads
Hail,Hail caused some minor damage to the bean crop.
Hail,
Hail,
Flash Flood,Prolonged heavy rainfall caused the east half of a 42 culvert to be washed out just south of the CR P/CR 6 intersection.  The resulting hole around the culvert was four to five feet deep.
Flash Flood,Runoff from prolonged heavy rainfall carved a three to three and a half feet deep ditch down the hill along the south side of CR W just east of the CR W/CR 12 intersection.  The ditch was deep enough to expose fiber tape near the gas line that crossed under the road.
Hail,The hail ranged from half dollar to tennis ball size.  Many downtown businesses lost windows.  The school lost 34 windows.  Some of the glass was embedded in the gym floor from the hail and wind.  At least one corn field near town was completely destroyed.
Hail,
Hail,
Flood,Heavy rainfall of 4 to over 10 inches over significant areas from 21 to 23 September in extreme North Central and Northeast Iowa moved downstream causing the Cedar River to rise above major flood stage levels.  ||Cedar Rapids rose above its major flood stage level of 16.0 feet on September 25th
Hail,
Hail,
Thunderstorm Wind,Thunderstorm winds downed a tree near Smiths Paradise.
Marine Thunderstorm Wind,A thunderstorm wind gust of 39mph...34 knots... was recorded by the SFWMD mesonet site...L005... located over western Lake Okeechobee.
Flash Flood,Thunderstorms produced heavy rain that caused flash flooding closing Hwy 55 south of Barksdale.
Hail,
Thunderstorm Wind,Wind gusts were estimated at 60 mph.
Thunderstorm Wind,Wind gusts were estimated at 70 mph at the Rosebud Casino.
Hail,
Hail,
Hail,A storm chaser observed wind-driven hail as large as tennis balls.  The hail fell immediately west of what would become a significant tornado just a few minutes later.  Minor hail damage occurred to the storm chaser's vehicle.
Flash Flood,Heavy rainfall from slow moving and training thunderstorms produced rainfall rates of an inch or more per hour for three consecutive hours.  Total estimated rainfall amounts were around 3 to 5 inches over the flash flood area.  The Emergency Manager estimated there to be four inches of water over Highway 25 where the highway crosses Chalk Creek in far northern Wichita county just south of the county line.  This was reported an hour after the rainfall had ended.
